Date,Open,High,Low,Close,Volume
2014-05-18,452.79,454.0,449.04,450.14,1449.47
2014-05-19,450.14,451.69,441.2,443.9,1351.0
2014-05-20,443.9,486.23,437.25,484.57,1899.12
2014-05-21,484.57,495.21,481.73,488.84,1394.82
2014-05-22,488.84,519.25,485.55,515.36,3124.47
2014-05-23,515.36,540.88,515.18,518.09,2763.64
2014-05-24,518.09,526.65,510.42,520.46,2857.47
2014-05-25,520.46,575.19,520.53,570.44,1873.75
2014-05-26,570.44,586.41,564.65,582.01,2958.74
2014-05-27,582.01,586.22,555.28,570.1,3353.12
2014-05-28,570.1,581.81,562.56,570.84,3569.69
2014-05-29,570.84,573.83,557.7,564.42,3734.36
2014-05-30,564.42,613.26,564.02,612.35,6205.87
2014-05-31,612.35,629.04,604.73,627.91,4409.91
2014-06-01,627.91,674.98,621.95,649.79,3552.12
2014-06-02,649.79,662.63,625.46,655.49,4134.25
2014-06-03,655.49,676.47,631.42,669.43,4360.3
2014-06-04,669.43,669.78,602.1,638.93,5597.3
2014-06-05,638.93,665.39,635.59,660.18,2761.43
2014-06-06,660.18,663.84,647.12,650.41,6035.98
2014-06-07,650.41,659.77,641.02,651.67,1968.61
2014-06-08,651.67,658.88,648.67,651.05,3313.68
2014-06-09,651.05,652.12,639.08,644.35,3258.34
2014-06-10,644.35,661.44,641.68,655.62,3558.54
2014-06-11,655.62,663.04,642.28,642.95,3800.84
2014-06-12,642.95,643.8,591.12,597.13,4586.48
2014-06-13,597.13,619.14,594.87,610.35,7545.7
2014-06-14,610.35,613.77,563.68,583.42,4999.15
2014-06-15,583.42,587.83,560.85,582.29,3942.88
2014-06-16,582.29,606.14,580.45,599.08,3991.36
2014-06-17,599.08,608.43,594.86,605.09,2999.39
2014-06-18,605.09,614.4,603.61,606.21,3312.07
2014-06-19,606.21,612.58,598.67,600.17,5601.33
2014-06-20,600.17,602.05,587.1,590.75,2153.94
2014-06-21,590.75,599.21,584.82,597.04,2282.89
2014-06-22,597.04,610.08,591.99,603.62,2036.79
2014-06-23,603.62,604.65,582.86,591.17,2652.78
2014-06-24,591.17,595.65,585.41,588.77,3077.48
2014-06-25,588.77,589.56,566.88,568.45,3090.79
2014-06-26,568.45,582.71,565.85,582.7,4147.81
2014-06-27,582.7,603.94,580.14,602.23,3388.65
2014-06-28,602.23,608.76,593.97,597.56,2938.93
2014-06-29,597.56,604.28,593.19,601.06,2892.18
2014-06-30,601.06,637.28,596.55,635.14,3832.86
2014-07-01,635.14,652.54,634.09,643.19,4106.32
2014-07-02,643.19,652.1,604.58,645.72,4784.21
2014-07-03,645.72,646.4,633.58,638.03,4010.26
2014-07-04,638.03,642.22,623.04,623.96,3601.75
2014-07-05,623.96,627.8,619.69,622.96,3247.38
2014-07-06,622.96,629.44,622.65,626.65,2700.79
2014-07-07,626.65,627.93,607.32,613.6,2529.86
2014-07-08,613.6,619.65,609.35,615.32,3206.28
