Date,dmt_v2_equity,baseline_equity,buy_hold_equity,position
2023-05-12,499.42795,499.3449,499.3449,0.8732525706291199
2023-05-15,500.93256,501.0676,501.0676,0.8732525110244751
2023-05-16,500.93256,497.71918,497.71918,0.0
2023-05-17,500.93256,503.761,503.761,0.0
2023-05-18,505.1465,508.6138,508.6138,0.8732525110244751
2023-05-19,504.50464,507.87372,507.87372,0.8732525110244751
2023-05-22,504.68356,508.08,508.08,0.8732525110244751
2023-05-23,499.73752,502.37793,502.37793,0.8732525110244751
2023-05-24,499.73752,498.73828,498.73828,0.0
2023-05-25,499.73752,503.05728,503.05728,0.0
2023-05-26,505.3892,509.57227,509.57227,0.8732525110244751
2023-05-30,505.3892,509.76636,509.76636,0.0
2023-05-31,505.3892,506.9396,506.9396,0.0
2023-06-01,505.3892,511.7561,511.7561,0.0
2023-06-02,505.3892,519.1566,519.1566,0.0
2023-06-05,504.54346,518.16174,518.16174,0.8732525110244751
2023-06-06,504.54346,519.29004,519.29004,0.0
2023-06-07,504.54346,517.4945,517.4945,0.0
2023-06-08,504.54346,520.62463,520.62463,0.0
2023-06-09,505.33395,521.5587,521.5587,0.8732525110244751
2023-06-12,509.33725,526.2903,526.2903,0.8732525110244751
2023-06-13,512.26965,529.7601,529.7601,0.8732525110244751
2023-06-14,512.26965,530.391,530.391,0.0
2023-06-15,512.26965,536.9666,536.9666,0.0
2023-06-16,510.7459,535.1376,535.1376,0.8732525110244751
2023-06-20,508.43192,532.3612,532.3612,0.8732525110244751
2023-06-21,506.157,529.6335,529.6335,0.8732525110244751
2023-06-22,506.157,531.5453,531.5453,0.0
2023-06-23,506.157,527.5268,527.5268,0.0
2023-06-26,506.157,525.3715,525.3715,0.0
2023-06-27,506.157,531.13135,531.13135,0.0
2023-06-28,506.157,531.39923,531.39923,0.0
2023-06-29,506.157,533.49365,533.49365,0.0
2023-06-30,511.37292,539.78925,539.78925,0.8732525110244751
2023-07-03,511.37292,540.41034,540.41034,0.0
2023-07-05,511.37292,539.60657,539.60657,0.0
2023-07-06,507.87613,535.38116,535.38116,0.8732525110244751
2023-07-07,506.7564,534.0295,534.0295,0.8732525110244751
2023-07-10,506.7564,535.3812,535.3812,0.0
2023-07-11,506.7564,538.79083,538.79083,0.0
2023-07-12,506.7564,543.1259,543.1259,0.0
2023-07-13,506.7564,547.4367,547.4367,0.0
2023-07-14,506.7564,547.09576,547.09576,0.0
2023-07-17,508.29294,548.9954,548.9954,0.8732525110244751
2023-07-18,511.59116,553.07477,553.07477,0.8732525110244751
2023-07-19,511.59116,554.30475,554.30475,0.0
2023-07-20,508.6272,550.6272,550.6272,0.8732525110244751
2023-07-21,508.6272,550.6272,550.6272,0.8732525110244751
2023-07-24,510.61136,553.087,553.087,0.8732525110244751
2023-07-25,511.82864,554.5969,554.5969,0.8732525110244751
2023-07-26,511.82864,554.6822,554.6822,0.0
2023-07-27,511.82864,551.00464,551.00464,0.0
