,strategy_equity
2024-01-02,500.0
2024-01-03,500.114129298064
2024-01-04,500.2281421139089
2024-01-05,500.23286245434247
2024-01-08,500.2374882050078
2024-01-09,489.11446024427795
2024-01-10,478.37798757305734
2024-01-11,487.3763464256456
2024-01-12,483.84818756970327
2024-01-16,449.5655836743864
2024-01-17,447.2711031851069
2024-01-18,429.63794392819017
2024-01-19,434.134587343438
2024-01-22,444.1682364437557
2024-01-23,444.1721593481641
2024-01-24,444.1762340857942
2024-01-25,444.3740556828116
2024-01-26,444.3781790498541
2024-01-29,444.38206163122635
2024-01-30,430.0615808984682
2024-01-31,389.67661982706124
2024-02-01,411.3388390508925
2024-02-02,443.9630839291197
2024-02-05,440.16529390804
2024-02-06,436.12153354557387
2024-02-07,455.46459853560486
2024-02-08,458.0606757709388
2024-02-09,478.0523896333311
2024-02-12,469.36222843207474
2024-02-13,434.43994853535986
2024-02-14,455.73367471933204
2024-02-15,461.45906833026015
2024-02-16,441.46080678006894
2024-02-20,425.27614634324016
2024-02-21,416.7772639833566
2024-02-22,472.8343638620722
2024-02-23,465.851054334875
2024-02-26,464.6416639640737
2024-02-27,464.6965801089073
2024-02-28,464.70063203831876
2024-02-29,464.8568820541048
2024-03-01,464.93741068597467
2024-03-04,464.9417911468141
2024-03-05,428.0023112817329
2024-03-06,439.4545815368596
2024-03-07,468.1363485372464
2024-03-08,437.68226683412416
2024-03-11,429.950549125733
2024-03-12,452.9870205575491
2024-03-13,439.3961068300864
2024-03-14,434.68627744990255
2024-03-15,414.31455537537147
2024-03-18,429.0142671268223
2024-03-19,429.06505791187044
2024-03-20,429.06899282837185
2024-03-21,429.1664456655926
2024-03-22,429.1703986936552
2024-03-25,429.2210611767395
2024-03-26,422.9796172162155
2024-03-27,428.3639369469992
2024-03-28,424.105081942715
2024-04-01,427.8338332495932
2024-04-02,408.81494957732195
2024-04-03,413.0460583882837
2024-04-04,380.9194630403699
2024-04-05,402.7469575970874
2024-04-08,402.9758757869335
2024-04-09,402.9795548572161
2024-04-10,403.02734235981404
2024-04-11,403.1191193721117
2024-04-12,403.1228766106547
2024-04-15,403.17062336385476
2024-04-16,402.97104886989325
2024-04-17,425.55551289424443
2024-04-18,436.949230657024
2024-04-19,479.6614255358289
2024-04-22,458.1375831015237
2024-04-23,458.1417821373394
2024-04-24,458.0959679591257
2024-04-25,458.29989253358957
2024-04-26,458.2540625443362
2024-04-29,458.3081428041063
2024-04-30,458.31233974518574
2024-05-01,458.35660540283186
2024-05-02,458.5615376562601
2024-05-03,458.56577414786886
2024-05-06,458.5199175704541
2024-05-07,458.52418814489016
2024-05-08,458.5786107693507
2024-05-09,458.78327569708324
2024-05-10,458.73739736951353
2024-05-13,458.79176860121277
2024-05-14,458.79598693974776
2024-05-15,458.8001998472443
2024-05-16,458.95458999649344
2024-05-17,458.9588568411508
2024-05-20,459.0130760195309
2024-05-21,462.5410675724237
2024-05-22,461.8464122435596
2024-05-23,450.6432642663428
2024-05-24,470.551702648869
2024-05-28,478.46992673844994
2024-05-29,462.27129586820803
2024-05-30,438.30735486235164
2024-05-31,437.30017620168144
2024-06-03,443.88469352947834
2024-06-04,451.57277870229296
2024-06-05,517.5115146973419
2024-06-06,515.6145483632797
2024-06-07,510.5586369399283
2024-06-10,523.2929957676715
2024-06-11,545.4124079966355
2024-06-12,589.791806849277
2024-06-13,609.0060557717096
2024-06-14,626.9680789953443
2024-06-17,673.8543183253977
2024-06-18,674.1330577444271
2024-06-20,640.6729728376669
2024-06-21,627.997145262514
